Encoding,Preproc,Modelo,Accuracy,Acc_std,F1,Precision,Recall,AUC,AUC_std,Tiempo_s,N_features
dax,raw,KNN,0.5540602655771194,0.019347590270378096,0.44211145147593206,0.7643901833891666,0.5540602655771194,0.6601767676767676,0.025502312584317722,0.022695565223693846,500
dax,raw,SVM,0.9741062308478039,0.015124474709791924,0.9740871756554759,0.9749209455359725,0.9741062308478039,0.9968147382920112,0.00421791350031779,0.36135685443878174,500
dax,raw,LR,0.7848059244126661,0.04707020190953554,0.7825260489424128,0.795113622616419,0.7848059244126661,0.8439898989898988,0.03051467814364004,0.030044174194335936,500
dax,raw,LDA,0.6891726251276813,0.037177683492217645,0.6797398858929024,0.7124588519903654,0.6891726251276813,0.6623766069788798,0.04485801337910434,0.06508042812347412,500
dax,raw,NB,0.6767875383043922,0.016934238523291265,0.6463566945811883,0.7712979455027719,0.6767875383043922,0.6785347796143251,0.018147685750771327,0.007904601097106934,500
dax,raw,RF,0.9842441266598569,0.015233744492360823,0.9842204719866807,0.9851251153449493,0.9842441266598569,0.9992906336088154,0.0010885731274928355,0.5295336008071899,500
dax,raw,XGB,0.9865168539325844,0.016513413996291103,0.9865052025509238,0.9869821455778819,0.9865168539325844,0.9988888888888889,0.00224506169402958,0.14110860824584961,500
dax,raw,DNN,0.9256894790602654,0.032258474495513646,0.9255445289025316,0.9284288806564147,0.9256894790602654,0.9804235537190082,0.014781452799453785,3.011695122718811,500
dax,scaled,KNN,0.6227017364657815,0.01633642287678076,0.5613349402903547,0.7771289448336958,0.6227017364657815,0.7197979797979798,0.023209859583362413,0.022330069541931154,500
dax,scaled,SVM,0.963993871297242,0.023976972168799352,0.9639728240253161,0.9647281845617031,0.963993871297242,0.9928741965105603,0.009599673985975997,0.2883971929550171,500
dax,scaled,LR,0.7859422880490297,0.04764190643101391,0.7835386940281212,0.7965102345621415,0.7859422880490297,0.8455819559228649,0.029680640779189086,0.029316258430480958,500
dax,scaled,LDA,0.6858018386108273,0.0398204326166364,0.6757989298828487,0.7096368214555505,0.6858018386108273,0.6588160009182736,0.04852939782648992,0.06518590450286865,500
dax,scaled,NB,0.6722803881511746,0.021821781374971386,0.6405078290410631,0.7681541737903378,0.6722803881511746,0.673534779614325,0.019133391271843526,0.011992049217224122,500
dax,scaled,RF,0.9842441266598569,0.015233744492360823,0.9842196191641286,0.9851235793371144,0.9842441266598569,0.9992906336088154,0.0010885731274928355,0.4952513694763183,500
dax,scaled,XGB,0.9865168539325844,0.016513413996291103,0.9865052025509238,0.9869821455778819,0.9865168539325844,0.9988888888888889,0.00224506169402958,0.1462467670440674,500
dax,scaled,DNN,0.9763917262512768,0.020372467880254017,0.9763446200702953,0.9781685492956342,0.9763917262512768,0.9965656565656567,0.004993619028003323,3.045863628387451,500
dax,pca,KNN,0.6260725229826354,0.019040464004356626,0.5664376992238318,0.7782754181120438,0.6260725229826354,0.7548737373737373,0.027324597605875713,0.07627787590026856,500
dax,pca,SVM,0.9628575076608785,0.02132518274688485,0.9628366103794695,0.9635122753370006,0.9628575076608785,0.9933264462809916,0.00716552151282424,0.19557979106903076,500
dax,pca,LR,0.7983656792645556,0.04002456882399422,0.7976561644820059,0.8021819030953214,0.7983656792645556,0.8780061983471075,0.032093965424234365,0.0914423704147339,500
dax,pca,LDA,0.8141470888661899,0.03260472627238536,0.8138185005697499,0.8161761264823989,0.8141470888661899,0.904896694214876,0.029869616660273126,0.07384464740753174,500
dax,pca,NB,0.9414198161389171,0.020059038176264848,0.9413327076093235,0.9434968161201349,0.9414198161389171,0.9674414600550965,0.013791620377180559,0.0655128002166748,500
dax,pca,RF,0.966241062308478,0.020690613063609562,0.9661951733276716,0.9678972836703151,0.966241062308478,0.9972629706152432,0.002321322130466245,1.111323070526123,500
dax,pca,XGB,0.9741189989785495,0.01882059286038296,0.9741014813568295,0.9746948946243938,0.9741189989785495,0.9974609733700642,0.002909569282212163,0.7302358388900757,500
dax,pca,DNN,0.9606103166496427,0.023135997362493176,0.9605474109976202,0.9625300446695728,0.9606103166496427,0.993732782369146,0.008018243273860665,3.130529761314392,500
complementary,raw,KNN,0.5,0.005024871859550101,0.33334829611341793,0.2500252493372049,0.5,0.5,0.0,0.012089991569519043,500
complementary,raw,SVM,0.9887512768130744,0.013294616491676372,0.9887474379316256,0.9889408260818419,0.9887512768130744,0.9996958218549128,0.0004633999169922527,0.2463393211364746,500
complementary,raw,LR,0.6655515832482124,0.022898723218307767,0.6497949098460911,0.7052128545627682,0.6655515832482124,0.6003317263544536,0.03072519143496399,0.022412800788879392,500
complementary,raw,LDA,0.6767747701736465,0.0463649225120409,0.6612326552941707,0.7156992038307658,0.6767747701736465,0.5680526859504132,0.05848146077764997,0.06314675807952881,500
complementary,raw,NB,0.6914198161389173,0.0178970574855458,0.6651287053022801,0.7795197927172922,0.6914198161389173,0.6911340679522497,0.01754069663057473,0.007338714599609376,500
complementary,raw,RF,0.9819841675178754,0.017585795430997794,0.9819720756408113,0.9823990978455855,0.9819841675178754,0.9986243112947658,0.0019123614485636582,0.5087342262268066,500
complementary,raw,XGB,0.9853804902962207,0.01235612722620539,0.9853766514147717,0.9855950083540017,0.9853804902962207,0.9989382460973371,0.0019354077357662176,0.13782927989959717,500
complementary,raw,DNN,0.9853677221654749,0.011284485221554806,0.9853623183813784,0.9858266882358704,0.9853677221654749,0.99989898989899,0.0003030303030302717,3.03153223991394,500
complementary,scaled,KNN,0.5,0.005024871859550101,0.33334829611341793,0.2500252493372049,0.5,0.5,0.0,0.017730236053466797,500
complementary,scaled,SVM,0.9347165474974466,0.02174124745443371,0.9345979999423651,0.937570192800616,0.9347165474974466,0.9920488980716252,0.007421024024390454,0.23333520889282225,500
complementary,scaled,LR,0.661006128702758,0.025227771479469197,0.6443249216592959,0.7015746580176587,0.661006128702758,0.5905980257116621,0.029682668472434188,0.025919079780578613,500
complementary,scaled,LDA,0.6767747701736465,0.0463649225120409,0.6612326552941707,0.7156992038307658,0.6767747701736465,0.5681783746556472,0.05833217555305351,0.06152398586273193,500
complementary,scaled,NB,0.6857763023493361,0.022105613400177453,0.6572758324254797,0.7779740260504571,0.6857763023493361,0.6858333333333333,0.022138976885137693,0.01171097755432129,500
complementary,scaled,RF,0.9819841675178754,0.017585795430997794,0.9819720756408113,0.9823990978455855,0.9819841675178754,0.9986765381083563,0.0017426499398319117,0.501702094078064,500
complementary,scaled,XGB,0.9853804902962207,0.01235612722620539,0.9853766514147717,0.9855950083540017,0.9853804902962207,0.9989382460973371,0.0019354077357662176,0.15444860458374024,500
complementary,scaled,DNN,0.9831205311542389,0.011526136105304074,0.9831137115782941,0.9836248353096178,0.9831205311542389,0.9995913682277319,0.0008173280275012134,3.0816459178924562,500
complementary,pca,KNN,0.5,0.005024871859550101,0.33334829611341793,0.2500252493372049,0.5,0.5033838383838384,0.0051693097300702885,0.06622872352600098,500
complementary,pca,SVM,0.8975357507660877,0.027681192613845728,0.8965045372077723,0.9123657300659179,0.8975357507660877,0.9934641873278236,0.005186560120838277,0.1944227933883667,500
complementary,pca,LR,0.6689351378958122,0.0481559475157415,0.6583335146960371,0.6921218643743272,0.6689351378958122,0.6451434802571167,0.043643839443602964,0.068367600440979,500
complementary,pca,LDA,0.6632660878447395,0.046392930587978096,0.651899889500865,0.6880265708876436,0.6632660878447395,0.7012086776859504,0.03785559925846245,0.07873284816741943,500
complementary,pca,NB,0.88517620020429,0.03035154413897076,0.8845568492179103,0.8939096056372671,0.88517620020429,0.8975614095500459,0.024684383926366973,0.060828542709350585,500
complementary,pca,RF,0.9584014300306434,0.03137578421501557,0.9583684658339747,0.9592648591748819,0.9584014300306434,0.9947692837465565,0.005429805065954682,1.104555106163025,500
complementary,pca,XGB,0.9751787538304393,0.013283299523668825,0.9751721834893405,0.9756113756048285,0.9751787538304393,0.9980130853994492,0.0019116202418477878,0.7508543729782104,500
complementary,pca,DNN,0.9628575076608785,0.01946831804685089,0.9627801033929767,0.9655725791896688,0.9628575076608785,0.9986845730027548,0.0021328882233938545,3.1364606618881226,500
eiip,raw,KNN,0.7680030643513789,0.026331154828633203,0.7634467393960408,0.7902054294240667,0.7680030643513789,0.8858052112029384,0.035736879654468805,0.011846852302551268,500
eiip,raw,SVM,0.8051966292134832,0.03786494818768268,0.8031650814695587,0.8163532137094194,0.8051966292134832,0.8758976124885216,0.05333909915920064,0.26940274238586426,500
eiip,raw,LR,0.8322395301327885,0.043529718730156076,0.8311900576486474,0.8387895826240005,0.8322395301327885,0.9100619834710744,0.032886957844965634,0.009860968589782715,500
eiip,raw,LDA,0.6769024514811032,0.05525445276451639,0.6662903447873101,0.700238438042527,0.6769024514811032,0.6477783516988062,0.04897786873382168,0.06218259334564209,500
eiip,raw,NB,0.6925434116445353,0.019199549902899824,0.6670757301321364,0.7782890555580457,0.6925434116445353,0.6946464646464646,0.01884515273631216,0.007142972946166992,500
eiip,raw,RF,0.9729954034729313,0.02082460204963834,0.9729861323990937,0.9735701594743549,0.9729954034729313,0.9939296372819099,0.007038493202144139,0.4633430004119873,500
eiip,raw,XGB,0.9774897854954034,0.017398615065689387,0.9774861923729258,0.9777827306943605,0.9774897854954034,0.9970638200183656,0.0046201599554341055,0.16667513847351073,500
eiip,raw,DNN,0.823276302349336,0.03665349630443552,0.8221418949251064,0.8328000601945048,0.823276302349336,0.9192378328741967,0.02986919884977864,3.068865180015564,500
eiip,scaled,KNN,0.7240168539325842,0.029816100534110945,0.704260319657133,0.8030353561914036,0.7240168539325842,0.8140472910927457,0.02398032209842776,0.018337607383728027,500
eiip,scaled,SVM,0.902055669050051,0.04077799756171798,0.9017003034027404,0.906204022899672,0.902055669050051,0.9752651515151515,0.017087688762759217,0.27995312213897705,500
eiip,scaled,LR,0.7950076608784474,0.05011458787296096,0.7932666092934659,0.8040426650481495,0.7950076608784474,0.9061753902662995,0.028308909632673865,0.03744857311248779,500
eiip,scaled,LDA,0.6769024514811032,0.05525445276451639,0.6662903447873101,0.700238438042527,0.6769024514811032,0.6476015840220386,0.04883110472134366,0.06730616092681885,500
eiip,scaled,NB,0.6902962206332992,0.016415288090296517,0.6641639915182636,0.7773728966603508,0.6902962206332992,0.6909441000918274,0.014700245766935426,0.011058759689331055,500
eiip,scaled,RF,0.9729954034729313,0.02082460204963834,0.9729861323990937,0.9735701594743549,0.9729954034729313,0.9939296372819099,0.007038493202144139,0.46320993900299073,500
eiip,scaled,XGB,0.9774897854954034,0.017398615065689387,0.9774861923729258,0.9777827306943605,0.9774897854954034,0.9970638200183656,0.0046201599554341055,0.15133178234100342,500
eiip,scaled,DNN,0.9774770173646576,0.014212850919136594,0.9774701653073056,0.9780541376312681,0.9774770173646576,0.9988280532598715,0.0015330843383515353,3.143332004547119,500
eiip,pca,KNN,0.7285240040858019,0.031108669514237988,0.7103051808292941,0.8026557408740393,0.7285240040858019,0.8352244031221303,0.02525744761300934,0.06351406574249267,500
eiip,pca,SVM,0.9043156281920327,0.041142404375756766,0.9039622077558768,0.9085875399578442,0.9043156281920327,0.9759217171717172,0.016741783851406955,0.17918426990509032,500
eiip,pca,LR,0.8231613891726252,0.05128165176434302,0.822827532014843,0.825888481606388,0.8231613891726252,0.9185009182736457,0.03150946864947319,0.0841560125350952,500
eiip,pca,LDA,0.8231613891726252,0.04678086985721954,0.8227870387284637,0.8256807001716906,0.8231613891726252,0.9140518824609734,0.036305625807076615,0.06576728820800781,500
eiip,pca,NB,0.9853804902962207,0.016700915126263777,0.9853549931093413,0.9862814636191347,0.9853804902962207,0.9996969696969696,0.0006060606060605877,0.0706587553024292,500
eiip,pca,RF,0.97635342185904,0.017743365553719668,0.9763188411070679,0.9775813537640523,0.97635342185904,0.9990404040404041,0.0009635749509262187,0.9361485004425049,500
eiip,pca,XGB,0.983082226762002,0.01773026329285492,0.9830775172113368,0.9834434545765267,0.983082226762002,0.9983149678604224,0.0028456150558244294,0.3996297359466553,500
eiip,pca,DNN,0.9628575076608785,0.024622336250190103,0.9628433996292353,0.9634450622969102,0.9628575076608785,0.9944869146005508,0.006940685050464216,3.4462934017181395,500
kmer3,raw,KNN,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.008300423622131348,125
kmer3,raw,SVM,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.017066454887390135,125
kmer3,raw,LR,0.8681690500510724,0.02799799541276311,0.8657532184490077,0.8941708479478994,0.8681690500510724,0.9105119375573922,0.03394977510488292,0.008563733100891114,125
kmer3,raw,LDA,0.9977400408580184,0.004520008453478689,0.9977398940978949,0.9977902621722846,0.9977400408580184,1.0,0.0,0.011763834953308105,125
